"severity","condition","cvss2_score","external_references","updated","published","Name","Architecture","cvss3_score","Version","detection_time","cve","Title"
"High","Version match",5,"[""https://github.com/metabase/metabase/commit/042a36e49574c749f944e19cf80360fd3dc322f0"",""https://github.com/metabase/metabase/security/advisories/GHSA-w73v-6p7p-fpfr"",""https://nvd.nist.gov/vuln/detail/CVE-2021-41277""]","2023-07-17","2021-11-17","Metabase version 1.40.4","x86",7.5,"1.40.4","2023-07-31T07:22:45+00:00","CVE-2021-41277","CVE-2021-41277 affects Metabase version 1.40.4"
"Critical","greater than or equal 1.0.0 and less than 1.44.7",0,"[""https://github.com/metabase/metabase/pull/30852"",""https://github.com/metabase/metabase/security/advisories/GHSA-mw6j-f894-4qxv"",""https://github.com/metabase/metabase/pull/30853"",""https://github.com/metabase/metabase/pull/30854"",""https://nvd.nist.gov/vuln/detail/CVE-2023-32680""]","2023-05-26","2023-05-18","Metabase version 1.40.4","x86",9.6,"1.40.4","2023-07-31T07:22:45+00:00","CVE-2023-32680","CVE-2023-32680 affects Metabase version 1.40.4"
"Medium","greater than or equal 1.0.0 and less than 1.43.7.1",0,"[""https://github.com/metabase/metabase/security/advisories/GHSA-ch8f-hhq9-7gv5"",""https://nvd.nist.gov/vuln/detail/CVE-2023-23629""]","2023-02-07","2023-01-28","Metabase version 1.40.4","x86",6.3,"1.40.4","2023-07-31T07:22:45+00:00","CVE-2023-23629","CVE-2023-23629 affects Metabase version 1.40.4"
"Medium","greater than or equal 1.0.0 and less than 1.43.7.1",0,"[""https://github.com/metabase/metabase/security/advisories/GHSA-492f-qxr3-9rrv"",""https://nvd.nist.gov/vuln/detail/CVE-2023-23628""]","2023-02-06","2023-01-28","Metabase version 1.40.4","x86",4.1,"1.40.4","2023-07-31T07:22:45+00:00","CVE-2023-23628","CVE-2023-23628 affects Metabase version 1.40.4"
"Medium","greater than or equal 1.40.0 and less than 1.40.8",3.5,"[""https://github.com/metabase/metabase/security/advisories/GHSA-wjw6-wm9w-7ggr"",""https://github.com/metabase/metabase/releases/tag/v0.42.4"",""https://nvd.nist.gov/vuln/detail/CVE-2022-24855""]","2022-04-22","2022-04-14","Metabase version 1.40.4","x86",5.4,"1.40.4","2023-07-31T07:22:45+00:00","CVE-2022-24855","CVE-2022-24855 affects Metabase version 1.40.4"
"Medium","greater than or equal 1.40.0 and less than 1.40.8",2.6,"[""https://www.qomplx.com/qomplx-knowledge-ntlm-relay-attacks-explained/"",""https://github.com/metabase/metabase/security/advisories/GHSA-5cfq-582c-c38m"",""https://secure77.de/metabase-ntlm-relay-attack/"",""https://nvd.nist.gov/vuln/detail/CVE-2022-24853""]","2022-04-22","2022-04-14","Metabase version 1.40.4","x86",5.3,"1.40.4","2023-07-31T07:22:45+00:00","CVE-2022-24853","CVE-2022-24853 affects Metabase version 1.40.4"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36874"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36874""]","2023-07-19","2023-07-11","Windows Server 2022","x64",7.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-36874","CVE-2023-36874 affects Windows Server 2022"
"Medium","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36871"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36871""]","2023-07-19","2023-07-11","Windows Server 2022","x64",6.5,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-36871","CVE-2023-36871 affects Windows Server 2022"
"Critical","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35367"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35367""]","2023-07-18","2023-07-11","Windows Server 2022","x64",9.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35367","CVE-2023-35367 affects Windows Server 2022"
"Critical","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35366"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35366""]","2023-07-18","2023-07-11","Windows Server 2022","x64",9.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35366","CVE-2023-35366 affects Windows Server 2022"
"Critical","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35365"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35365""]","2023-07-18","2023-07-11","Windows Server 2022","x64",9.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35365","CVE-2023-35365 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35364"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35364""]","2023-07-18","2023-07-11","Windows Server 2022","x64",8.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35364","CVE-2023-35364 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35363"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35363""]","2023-07-18","2023-07-11","Windows Server 2022","x64",7.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35363","CVE-2023-35363 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35362"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35362""]","2023-07-18","2023-07-11","Windows Server 2022","x64",7.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35362","CVE-2023-35362 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35361"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35361""]","2023-07-18","2023-07-11","Windows Server 2022","x64",7,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35361","CVE-2023-35361 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35360"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35360""]","2023-07-18","2023-07-11","Windows Server 2022","x64",7,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35360","CVE-2023-35360 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35358"",""http://packetstormsecurity.com/files/174117/Microsoft-Windows-Kernel-Unsafe-Reference.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35358""]","2023-08-10","2023-07-11","Windows Server 2022","x64",7.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35358","CVE-2023-35358 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35357"",""http://packetstormsecurity.com/files/174116/Microsoft-Windows-Kernel-Unsafe-Reference.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35357""]","2023-08-10","2023-07-11","Windows Server 2022","x64",7.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35357","CVE-2023-35357 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35356"",""http://packetstormsecurity.com/files/174118/Microsoft-Windows-Kernel-Security-Descriptor-Use-After-Free.html"",""http://packetstormsecurity.com/files/174115/Microsoft-Windows-Kernel-Arbitrary-Read.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35356""]","2023-08-10","2023-07-11","Windows Server 2022","x64",7.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35356","CVE-2023-35356 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35353"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35353""]","2023-07-18","2023-07-11","Windows Server 2022","x64",7.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35353","CVE-2023-35353 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35352"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35352""]","2023-07-18","2023-07-11","Windows Server 2022","x64",7.5,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35352","CVE-2023-35352 affects Windows Server 2022"
"Medium","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35351"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35351""]","2023-07-19","2023-07-11","Windows Server 2022","x64",6.6,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35351","CVE-2023-35351 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35350"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35350""]","2023-07-14","2023-07-11","Windows Server 2022","x64",7.2,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35350","CVE-2023-35350 affects Windows Server 2022"
"Medium","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35348"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35348""]","2023-07-14","2023-07-11","Windows Server 2022","x64",6.5,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35348","CVE-2023-35348 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35347"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35347""]","2023-07-14","2023-07-11","Windows Server 2022","x64",7.1,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35347","CVE-2023-35347 affects Windows Server 2022"
"Medium","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35346"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35346""]","2023-07-14","2023-07-11","Windows Server 2022","x64",6.6,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35346","CVE-2023-35346 affects Windows Server 2022"
"Medium","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35345"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35345""]","2023-07-15","2023-07-11","Windows Server 2022","x64",6.6,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35345","CVE-2023-35345 affects Windows Server 2022"
"Medium","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35344"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35344""]","2023-07-15","2023-07-11","Windows Server 2022","x64",6.6,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35344","CVE-2023-35344 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35343"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35343""]","2023-07-15","2023-07-11","Windows Server 2022","x64",7.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35343","CVE-2023-35343 affects Windows Server 2022"
"High","KB5028171 patch is not installed",0,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35342"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35342""]","2023-07-15","2023-07-11","Windows Server 2022","x64",7.8,"10.0.20348","2023-07-31T07:22:27+00:00","CVE-2023-35342","CVE-2023-35342 affects Windows Server 2022"
